Epigenome ID (EID)	ORDER	Original Roadmap	Class	Class II	Class III	COLOR	Epigenome Mnemonic	Standardized Epigenome name
E063	74	Adipose	Adipose			#AF5B39	FAT.ADIP.NUC	Adipose Nuclei
E115	113	ENCODE2012	Blood	Lymphocyte	Cancer Cell Line	#000000	BLD.DND41.CNCR	Dnd41 TCell Leukemia Cell Line
E116	114	ENCODE2012	Blood	Lymphocyte	Cancer Cell Line	#000000	BLD.GM12878	GM12878 Lymphoblastoid Cells
E034	25	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD3.PPC	Primary T cells from peripheral blood
E045	26	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25I.CD127.TMEMPC	Primary T cells effector/memory enriched from peripheral blood
E033	27	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD3.CPC	Primary T cells from cord blood
E044	28	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25.CD127M.TREGPC	Primary T regulatory cells from peripheral blood
E043	29	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25M.TPC	Primary T helper cells from peripheral blood
E039	30	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25M.CD45RA.NPC	Primary T helper naive cells from peripheral blood
E041	31	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25M.IL17M.PL.TPC	Primary T helper cells PMA-I stimulated
E042	32	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25M.IL17P.PL.TPC	Primary T helper 17 cells PMA-I stimulated
E040	33	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.CD25M.CD45RO.MPC	Primary T helper memory cells from peripheral blood 1
E037	34	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.MPC	Primary T helper memory cells from peripheral blood 2
E048	35	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD8.MPC	Primary T CD8+ memory cells from peripheral blood
E038	36	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD4.NPC	Primary T helper naive cells from peripheral blood
E047	37	Blood & T-cell	Blood	Lymphocyte		#55A354	BLD.CD8.NPC	Primary T CD8+ naive cells from peripheral blood
E031	39	HSC & B-cell	Blood	Lymphocyte		#678C69	BLD.CD19.CPC	Primary B cells from cord blood
E032	44	HSC & B-cell	Blood	Lymphocyte		#678C69	BLD.CD19.PPC	Primary B cells from peripheral blood
E046	45	HSC & B-cell	Blood	Lymphocyte		#678C69	BLD.CD56.PC	Primary Natural Killer cells from peripheral blood
E123	121	ENCODE2012	Blood	Myeloid Leukocyte	Cancer Cell Line	#000000	BLD.K562.CNCR	K562 Leukemia Cells
E124	122	ENCODE2012	Blood	Myeloid Leukocyte	Cancer Cell Line	#000000	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Primary Cells
E029	38	HSC & B-cell	Blood	Myeloid Leukocyte		#678C69	BLD.CD14.PC	Primary monocytes from peripheral blood
E030	46	HSC & B-cell	Blood	Myeloid Leukocyte		#678C69	BLD.CD15.PC	Primary neutrophils from peripheral blood
E062	24	Blood & T-cell	Blood			#55A354	BLD.PER.MONUC.PC	Primary mononuclear cells from peripheral blood
E065	84	Heart	Blood Vessel			#D56F80	VAS.AOR	Aorta
E082	72	Brain	Brain		Fetal	#C5912B	BRN.FET.F	Fetal Brain Female
E081	73	Brain	Brain		Fetal	#C5912B	BRN.FET.M	Fetal Brain Male
E071	64	Brain	Brain			#C5912B	BRN.HIPP.MID	Brain Hippocampus Middle
E074	65	Brain	Brain			#C5912B	BRN.SUB.NIG	Brain Substantia Nigra
E068	66	Brain	Brain			#C5912B	BRN.ANT.CAUD	Brain Anterior Caudate
E069	67	Brain	Brain			#C5912B	BRN.CING.GYR	Brain Cingulate Gyrus
